Data,Preço Médio,Emissor
2022-04-20,99.52386747,3548748
2022-04-21,99.52386747,3548748
2022-04-22,99.45078673,3657531
2022-04-23,99.45078673,3657531
2022-04-24,99.45078673,3657531
2022-04-25,99.64241616,3698954
2022-04-26,99.56448075,4184356
2022-04-27,99.49945614,4150711
2022-04-28,99.52984154,4189462
2022-04-29,99.38293768,4076979
2022-04-30,99.38293768,4076979
2022-05-01,99.38293768,4076979
2022-05-02,99.66494192,4028822
2022-05-03,100.4900388,3972483
2022-05-04,99.85530714,3563455
2022-05-05,100.136688,3690671
2022-05-06,100.6657711,3656717
2022-05-07,100.6657711,3656717
2022-05-08,100.6657711,3656717
2022-05-09,101.0164646,3556127
2022-05-10,101.3442051,3642483
2022-05-11,101.931337,3662811
2022-05-12,102.0144097,3629658
2022-05-13,102.3110127,3609546
2022-05-14,102.3110127,3609546
2022-05-15,102.3110127,3609546
2022-05-16,102.9080845,3626785
2022-05-17,104.6970351,3621047
2022-05-18,108.3770775,3524736
2022-05-19,108.4165356,3592037
2022-05-20,108.3870096,3541893
2022-05-21,108.3870096,3541893
2022-05-22,108.3870096,3541893
2022-05-23,109.8363827,3689944
2022-05-24,114.1588132,3491816
2022-05-25,118.4055693,3650816
2022-05-26,119.265556,3625018
2022-05-27,117.784603,3467816
2022-05-28,117.784603,3467816
2022-05-29,117.784603,3467816
2022-05-30,118.3951311,3439876
2022-05-31,119.0609351,3511752
2022-06-01,119.4766476,3527556
2022-06-02,119.5525901,3494495
2022-06-03,119.5589322,3500524
2022-06-04,119.5589322,3500524
2022-06-05,119.5589322,3500524
2022-06-06,119.8039466,3516728
2022-06-07,120.0268679,3554080
2022-06-08,120.279971,3630422
2022-06-09,125.9267031,3537524
2022-06-10,128.9110859,3227686
2022-06-11,128.9110859,3227686
2022-06-12,128.9110859,3227686
2022-06-13,131.1086867,3201758
2022-06-14,133.2193153,3134667
2022-06-15,142.0688523,3234028
2022-06-16,142.0688523,3234028
2022-06-17,156.3177389,3036333
2022-06-18,156.3177389,3036333
2022-06-19,156.3177389,3036333
2022-06-20,169.4883519,2788781
2022-06-21,170.7264974,2839204
2022-06-22,171.4247184,2935290
2022-06-23,174.0466305,2877099
2022-06-24,177.3159461,2790088
2022-06-25,177.3159461,2790088
2022-06-26,177.3159461,2790088
2022-06-27,180.203745,2454573
2022-06-28,186.7029441,2107268
2022-06-29,196.9111722,2042641
2022-06-30,202.6518418,1869612
2022-07-01,196.3293242,1855427
2022-07-02,196.3293242,1855427
2022-07-03,196.3293242,1855427
2022-07-04,196.4655873,1862723
2022-07-05,196.6571253,1871214
2022-07-06,197.2604316,1911621
2022-07-07,196.3091962,1985117
2022-07-08,195.1702641,1958876
2022-07-09,195.1702641,1958876
2022-07-10,195.1702641,1958876
2022-07-11,194.1914066,1880869
2022-07-12,194.2142327,1871684
2022-07-13,193.5137567,1841610
2022-07-14,188.8620374,1862754
2022-07-15,175.2551717,1836417
2022-07-16,175.2551717,1836417
2022-07-17,175.2551717,1836417
2022-07-18,153.9493017,1862871
2022-07-19,126.0987813,1905677
2022-07-20,108.083701,2057409
2022-07-21,96.50624678,2119932
2022-07-22,101.3158681,2092452
2022-07-23,101.3158681,2092452
2022-07-24,101.3158681,2092452
2022-07-25,101.3158681,2092452
2022-07-26,101.339232,2499529
2022-07-27,99.34799527,2634023
2022-07-28,99.48040519,2671354
2022-07-29,93.56687775,2732862
2022-07-30,93.56687775,2732862
2022-07-31,93.56687775,2732862
2022-08-01,93.89124048,2757547
2022-08-02,95.57810712,2833400
2022-08-03,90.40832091,2900256
2022-08-04,90.45140854,2917427
2022-08-05,90.15264869,2909524
2022-08-06,90.15264869,2909524
2022-08-07,90.15264869,2909524
2022-08-08,89.56418182,2914750
2022-08-09,90.10048037,3004594
2022-08-10,90.01808594,3072492
2022-08-11,90.28960951,3093423
2022-08-12,90.84414766,3111210
2022-08-13,90.84414766,3111210
2022-08-14,90.84414766,3111210
2022-08-15,91.45165621,3133272
2022-08-16,91.42322963,3184704
2022-08-17,90.99253177,3279056
2022-08-18,90.81263264,3382336
2022-08-19,90.63700571,3468666
2022-08-20,90.63700571,3468666
